the O -1 -1
wait O -1 -1
staff O -1 -1
is O -1 -1
very O -1 -1
friendly O -1 -1
, O -1 -1
if O -1 -1
your O -1 -1
not O -1 -1
rude O -1 2
or O -1 -1
picky O -1 -1
....... O -1 -1
our O -1 -1
meal B-ASP 2 2
at O -1 -1
Leon O -1 -1
last O -1 -1
weekend O -1 -1
was O -1 -1
great O -1 2
- O -1 -1
. O -1 -1

Decor B-ASP 2 2
is O -1 -1
nice O -1 2
and O -1 -1
minimalist O -1 -1
, O -1 -1
food B-ASP -1 -1
simple O -1 2
yet O -1 2
very O -1 -1
well O -1 2
presented O -1 -1
and O -1 -1
cooked O -1 -1
, O -1 -1
and O -1 -1
the O -1 -1
wine B-ASP -1 -1
list I-ASP -1 -1
matches O -1 -1
the O -1 -1
food B-ASP -1 -1
very O -1 -1
well O -1 2
. O -1 -1

( O -1 -1
food B-ASP -1 -1
was O -1 -1
delivered O -1 -1
by O -1 -1
a O -1 -1
busboy B-ASP -1 -1
, O -1 -1
not O -1 -1
waiter B-ASP -1 -1
) O -1 -1
We O -1 0
got O -1 0
no O -1 -1
cheese B-ASP -1 -1
offered O -1 -1
for O -1 -1
the O -1 -1
pasta B-ASP -1 -1
, O -1 -1
our O -1 -1
water B-ASP 1 0
and I-ASP 1 0
wine I-ASP 1 0
glasses I-ASP 1 0
remained O -1 0
EMPTY O -1 0
our O -1 -1
entire O -1 -1
meal B-ASP -1 -1
, O -1 -1
when O -1 -1
we O -1 -1
would O -1 -1
have O -1 -1
easily O -1 -1
spent O -1 -1
another O -1 -1
$ O -1 -1
20 O -1 -1
on O -1 -1
wine B-ASP -1 -1
. O -1 -1

I O -1 2
recommend O -1 2
any O -1 -1
of O -1 -1
their O -1 -1
salmon B-ASP 2 2
dishes I-ASP 2 2
...... O -1 -1

You O -1 2
can O -1 -1
eat O -1 2
gourmet O -1 2
food B-ASP 2 2
at O -1 -1
a O -1 -1
fast O -1 2
food B-ASP 2 2
price B-ASP -1 -1
. O -1 -1

Pizza B-ASP 2 2
is O -1 -1
terrific O -1 2
, O -1 -1
as O -1 -1
is O -1 -1
homemade B-ASP -1 -1
pasta I-ASP -1 -1
. O -1 -1

This O -1 -1
is O -1 -1
one O -1 -1
great O -1 2
place O -1 2
to O -1 -1
eat O -1 -1
pizza B-ASP 2 2
more O -1 -1
out O -1 -1
but O -1 -1
not O -1 -1
a O -1 -1
good O -1 2
